app_id,game_name,player_count,timestamp,day_of_week,day_name,hour_of_day,date_only
440,Team Fortress 2,36527,2025-09-17 21:37:19.053836+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,559684,2025-09-17 21:37:19.054699+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,48667,2025-09-17 21:37:19.056882+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3884,2025-09-17 21:37:19.060219+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,896691,2025-09-17 21:37:19.085192+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,559684,2025-09-17 21:42:19.199646+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3884,2025-09-17 21:42:19.204806+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,896691,2025-09-17 21:42:19.222328+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,36481,2025-09-17 21:42:19.224183+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,46305,2025-09-17 21:42:19.265098+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,538866,2025-09-17 21:47:19.094787+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,874658,2025-09-17 21:47:19.096433+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,36481,2025-09-17 21:47:19.10547+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,46305,2025-09-17 21:47:19.130089+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3762,2025-09-17 21:47:19.166666+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,874658,2025-09-17 21:52:19.153073+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,538866,2025-09-17 21:52:19.154811+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,36481,2025-09-17 21:52:19.155196+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,46305,2025-09-17 21:52:19.173957+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3762,2025-09-17 21:52:19.174952+00,3,Wednesday,21,2025-09-17 00:00:00+00
730,Counter-Strike 2,874658,2025-09-17 21:57:19.26943+00,3,Wednesday,21,2025-09-17 00:00:00+00
570,Dota 2,538866,2025-09-17 21:57:19.270869+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3762,2025-09-17 21:57:19.276224+00,3,Wednesday,21,2025-09-17 00:00:00+00
440,Team Fortress 2,35126,2025-09-17 21:57:19.308605+00,3,Wednesday,21,2025-09-17 00:00:00+00
271590,GTA V,44229,2025-09-17 21:57:19.370195+00,3,Wednesday,21,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3639,2025-09-17 22:02:19.256922+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,518589,2025-09-17 22:02:19.257835+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,35126,2025-09-17 22:02:19.270905+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,44229,2025-09-17 22:02:19.297067+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,836277,2025-09-17 22:02:19.346519+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,836277,2025-09-17 22:07:19.371323+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,518589,2025-09-17 22:07:19.375679+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,35126,2025-09-17 22:07:19.377282+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3639,2025-09-17 22:07:19.382779+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,44229,2025-09-17 22:07:19.442092+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,836277,2025-09-17 22:12:19.407389+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,504353,2025-09-17 22:12:19.409284+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3639,2025-09-17 22:12:19.411047+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,34602,2025-09-17 22:12:19.418827+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,42399,2025-09-17 22:12:19.420897+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,504353,2025-09-17 22:17:19.450641+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,42399,2025-09-17 22:17:19.460878+00,3,Wednesday,22,2025-09-17 00:00:00+00
